,support,itemset,fn,fn_div,fn_t,length,support_count
0,0.07527216174183515,frozenset({'OTHER=Time & Events'}),0.8859504132231405,0.09063046522371832,6.466690204485265,1,968.0
1,0.06741835147744946,frozenset({'DISCRIMINATION=Religion'}),0.872791519434629,0.07747157143520678,5.136258989756769,1,867.0
2,0.20171073094867809,frozenset({'DISCRIMINATION=Race or ethnicity'}),0.8627351296390442,0.06741518163962201,7.335198482017674,1,2594.0
3,0.05878693623639191,frozenset({'HEALTH=Health Medicine'}),0.8591885441527446,0.06386859615332241,3.517877905197125,1,756.0
4,0.07138413685847589,frozenset({'GEOPOLITICAL ISSUE=Politics'}),0.8547008547008547,0.05938090670143248,2.953925013165526,1,918.0
5,0.05062208398133748,frozenset({'DISCRIMINATION=Racial stereotypes'}),0.8440366972477065,0.048716749248284286,2.61657883475498,1,651.0
6,0.053421461897356144,frozenset({'GEOPOLITICAL ISSUE=Locations/Geography'}),0.8434782608695652,0.04815831287014305,2.2938277133847245,1,687.0
7,0.05163297045101089,frozenset({'ABSTRACT CONCEPT=Emotions'}),0.8403755868544601,0.04505563885503794,1.6407332650186475,1,664.0
8,0.05645412130637636,frozenset({'SEXUALITY=Sexuality'}),0.8304093567251462,0.03508940872572397,1.963032656868381,1,726.0
9,0.05870917573872473,frozenset({'CULTURE=Groups/Names'}),0.8251533742331288,0.02983342623370666,1.2941906384870359,1,755.0
10,0.09354587869362364,frozenset({'ABSTRACT CONCEPT=Claim/Opinion'}),0.8166144200626959,0.02129447206327373,1.2691658918922524,1,1203.0
11,1.0,frozenset(),0.7953199479994222,0.0,0.0,0,12860.0
12,0.06298600311041991,frozenset({'SOCIETY=Social setting/impact'}),0.7806004618937644,-0.014719486105657764,0.778908179790354,1,810.0
13,0.05451010886469673,frozenset({'VIOLENCE=Threat or Risk'}),0.7568493150684932,-0.038470632930929005,1.5736848780707569,1,701.0
14,0.07496111975116641,frozenset({'ABSTRACT CONCEPT=Personal traits/taste'}),0.7430167597765364,-0.05230318822288582,2.732472096828204,1,964.0
15,0.12480559875583204,frozenset({'GENDER ISSUE=Gender'}),0.4755120213713268,-0.3198079266280954,20.423336036547816,1,1605.0
