,support,itemset,ac,ac_div,ac_t,length,support_count
0,0.05163297045101089,frozenset({'ABSTRACT CONCEPT=Emotions'}),0.9081325301204819,0.06342024396185053,5.322549013675524,1,664.0
1,0.07496111975116641,frozenset({'ABSTRACT CONCEPT=Personal traits/taste'}),0.8755186721991701,0.030806386040538758,2.7068562610731695,1,964.0
2,0.05451010886469673,frozenset({'VIOLENCE=Threat or Risk'}),0.8744650499286734,0.02975276377004199,2.222291687767431,1,701.0
3,0.09354587869362364,frozenset({'ABSTRACT CONCEPT=Claim/Opinion'}),0.8736492103075644,0.028936924148933008,2.8074956082454765,1,1203.0
4,0.20171073094867809,frozenset({'DISCRIMINATION=Race or ethnicity'}),0.8650732459521974,0.020360959793566002,2.7092526838659428,1,2594.0
5,0.06741835147744946,frozenset({'DISCRIMINATION=Religion'}),0.8535178777393311,0.008805591580699712,0.6471382673840892,1,867.0
6,0.07527216174183515,frozenset({'OTHER=Time & Events'}),0.8522727272727273,0.007560441114095928,0.5813057647305714,1,968.0
7,1.0,frozenset(),0.8447122861586314,0.0,0.0,0,12860.0
8,0.05878693623639191,frozenset({'HEALTH=Health Medicine'}),0.843915343915344,-0.0007969422432874129,0.12150858703674779,1,756.0
9,0.12480559875583204,frozenset({'GENDER ISSUE=Gender'}),0.8367601246105919,-0.00795216154803946,0.8519343345875146,1,1605.0
10,0.053421461897356144,frozenset({'GEOPOLITICAL ISSUE=Locations/Geography'}),0.8355167394468704,-0.009195546711760927,0.6975330889551742,1,687.0
11,0.07138413685847589,frozenset({'GEOPOLITICAL ISSUE=Politics'}),0.8278867102396514,-0.01682557591897993,1.3594577396136989,1,918.0
12,0.05645412130637636,frozenset({'SEXUALITY=Sexuality'}),0.8278236914600551,-0.016888594698576287,1.2341233663174174,1,726.0
13,0.05062208398133748,frozenset({'DISCRIMINATION=Racial stereotypes'}),0.82642089093702,-0.018291395221611384,1.2670037784487607,1,651.0
14,0.05870917573872473,frozenset({'CULTURE=Groups/Names'}),0.8225165562913908,-0.02219572986724061,1.6118363204967994,1,755.0
15,0.06298600311041991,frozenset({'SOCIETY=Social setting/impact'}),0.7913580246913581,-0.05335426146727329,3.6943213439344547,1,810.0
